,ViolentCrimesPerPop
1542,High Crime
1543,High Crime
1544,Very High Crime
1545,Medium Crime
1546,Very Low Crime
1547,Medium Crime
1548,Low Crime
1549,Very Low Crime
1550,Very Low Crime
1551,Medium Crime
1552,Very Low Crime
1553,Low Crime
1554,Very High Crime
1555,High Crime
1556,High Crime
1557,High Crime
1558,Medium Crime
1559,Low Crime
1560,High Crime
1561,Low Crime
1562,Low Crime
1563,Very High Crime
1564,High Crime
1565,Very Low Crime
1566,High Crime
1567,Very High Crime
1568,Very Low Crime
1569,Very High Crime
1570,Very High Crime
1571,Low Crime
1572,Low Crime
1573,High Crime
1574,High Crime
1575,Medium Crime
1576,Medium Crime
1577,Medium Crime
1578,Very Low Crime
1579,Medium Crime
1580,Very High Crime
1581,Medium Crime
1582,Very High Crime
1583,Low Crime
1584,High Crime
1585,Low Crime
1586,Very Low Crime
1587,Low Crime
1588,Very Low Crime
1589,Low Crime
1590,High Crime
1591,Medium Crime
1592,Low Crime
1593,Very Low Crime
1594,High Crime
1595,Very High Crime
1596,Medium Crime
1597,Very High Crime
1598,High Crime
1599,Low Crime
1600,Very Low Crime
1601,Very High Crime
1602,Low Crime
1603,Medium Crime
1604,Very Low Crime
1605,Very Low Crime
1606,Low Crime
1607,Very High Crime
1608,Medium Crime
1609,Very Low Crime
1610,Very High Crime
1611,Very Low Crime
1612,Very High Crime
1613,Medium Crime
1614,Low Crime
1615,Very Low Crime
1616,Very Low Crime
1617,High Crime
1618,Very Low Crime
1619,High Crime
1620,Low Crime
1621,Low Crime
1622,Very Low Crime
1623,Very High Crime
1624,High Crime
1625,Very High Crime
1626,High Crime
1627,Very Low Crime
1628,High Crime
1629,Very Low Crime
1630,Very Low Crime
1631,Very Low Crime
1632,High Crime
1633,Very High Crime
1634,Very Low Crime
1635,Low Crime
1636,Very High Crime
1637,Low Crime
1638,Medium Crime
1639,Low Crime
1640,Very High Crime
1641,High Crime
1642,Very Low Crime
1643,Very Low Crime
1644,Medium Crime
1645,Low Crime
1646,Low Crime
1647,High Crime
1648,Very Low Crime
1649,High Crime
1650,Low Crime
1651,High Crime
1652,Very Low Crime
1653,Low Crime
1654,Low Crime
1655,Very High Crime
1656,Very Low Crime
1657,Very Low Crime
1658,Very Low Crime
1659,Very Low Crime
1660,Very Low Crime
1661,Very High Crime
1662,High Crime
1663,Very High Crime
1664,Very High Crime
1665,Very Low Crime
1666,Low Crime
1667,Very Low Crime
1668,Low Crime
1669,High Crime
1670,Very High Crime
1671,High Crime
1672,Very Low Crime
1673,Medium Crime
1674,Low Crime
1675,Medium Crime
1676,High Crime
1677,Very High Crime
1678,High Crime
1679,Very Low Crime
1680,Medium Crime
1681,Medium Crime
1682,Very Low Crime
1683,High Crime
1684,Very High Crime
1685,Low Crime
1686,Very High Crime
1687,Very Low Crime
1688,Low Crime
1689,High Crime
1690,High Crime
1691,High Crime
1692,Medium Crime
1693,Medium Crime
1694,Very Low Crime
1695,High Crime
1696,Medium Crime
1697,Very Low Crime
1698,Very High Crime
1699,High Crime
1700,Very High Crime
1701,Low Crime
1702,Low Crime
1703,Very High Crime
1704,Very Low Crime
1705,Very Low Crime
1706,Very Low Crime
1707,High Crime
1708,Very Low Crime
1709,High Crime
1710,High Crime
1711,High Crime
1712,Medium Crime
1713,Very Low Crime
1714,Low Crime
1715,Low Crime
1716,Medium Crime
1717,Medium Crime
1718,Medium Crime
1719,High Crime
1720,Low Crime
1721,Very High Crime
1722,Very Low Crime
1723,Low Crime
1724,Medium Crime
1725,Very Low Crime
1726,High Crime
1727,Very High Crime
1728,High Crime
1729,High Crime
1730,Medium Crime
1731,Low Crime
1732,High Crime
1733,Low Crime
1734,Low Crime
1735,Very Low Crime
1736,Low Crime
1737,Medium Crime
1738,Medium Crime
1739,Medium Crime
1740,Very Low Crime
1741,Very Low Crime
1742,Medium Crime
1743,Low Crime
1744,Very Low Crime
1745,Very Low Crime
1746,Very Low Crime
1747,Very High Crime
1748,Medium Crime
1749,Very High Crime
1750,Medium Crime
1751,High Crime
1752,Medium Crime
1753,Very High Crime
1754,Very High Crime
1755,Very Low Crime
1756,High Crime
1757,Low Crime
1758,High Crime
1759,Very High Crime
1760,Medium Crime
1761,Very Low Crime
1762,Very Low Crime
1763,Medium Crime
1764,High Crime
1765,Low Crime
1766,Very Low Crime
1767,Very High Crime
1768,Low Crime
1769,Medium Crime
1770,High Crime
1771,Medium Crime
1772,Low Crime
1773,Very High Crime
1774,Medium Crime
1775,Very High Crime
1776,Very Low Crime
1777,Very High Crime
1778,Very High Crime
1779,Medium Crime
1780,Very Low Crime
1781,Low Crime
1782,Very Low Crime
1783,Very High Crime
1784,Low Crime
1785,Very Low Crime
1786,Low Crime
1787,High Crime
1788,High Crime
1789,Very High Crime
1790,Very High Crime
1791,Low Crime
1792,Very High Crime
1793,Very Low Crime
1794,Very Low Crime
1795,Low Crime
1796,Medium Crime
1797,Medium Crime
1798,Medium Crime
1799,Medium Crime
1800,Low Crime
1801,Very High Crime
1802,Low Crime
1803,High Crime
1804,Very Low Crime
1805,Very High Crime
1806,Medium Crime
1807,Medium Crime
1808,High Crime
1809,Very Low Crime
1810,Very High Crime
1811,Very High Crime
1812,Low Crime
1813,Very High Crime
1814,Low Crime
1815,Very High Crime
1816,Very Low Crime
1817,Very High Crime
1818,Very Low Crime
1819,High Crime
1820,High Crime
1821,High Crime
1822,High Crime
1823,Very High Crime
1824,Very Low Crime
1825,Medium Crime
1826,Very Low Crime
1827,Low Crime
1828,Very Low Crime
1829,Low Crime
1830,Low Crime
1831,Very High Crime
1832,Very Low Crime
1833,Very Low Crime
1834,Medium Crime
1835,Very High Crime
1836,Very High Crime
1837,Medium Crime
1838,Very High Crime
1839,Medium Crime
1840,Medium Crime
1841,Medium Crime
1842,High Crime
1843,Very High Crime
1844,Very Low Crime
1845,Medium Crime
1846,Low Crime
1847,Very High Crime
1848,Medium Crime
1849,Very High Crime
1850,Medium Crime
1851,High Crime
1852,High Crime
1853,Very Low Crime
1854,Medium Crime
1855,Low Crime
1856,Medium Crime
1857,Medium Crime
1858,Medium Crime
1859,High Crime
1860,High Crime
1861,Medium Crime
1862,High Crime
1863,Low Crime
1864,Very Low Crime
1865,Very High Crime
1866,Low Crime
1867,Very Low Crime
1868,Very Low Crime
1869,Medium Crime
1870,High Crime
1871,Low Crime
1872,Very High Crime
1873,Very Low Crime
1874,Medium Crime
1875,High Crime
1876,Medium Crime
1877,Medium Crime
1878,Very High Crime
1879,Medium Crime
1880,High Crime
1881,Very Low Crime
1882,Low Crime
1883,Low Crime
1884,High Crime
1885,Low Crime
1886,High Crime
1887,High Crime
1888,Low Crime
1889,Low Crime
1890,Very Low Crime
1891,High Crime
1892,Medium Crime
1893,High Crime
1894,Very Low Crime
1895,Medium Crime
1896,Very Low Crime
1897,Medium Crime
1898,Very Low Crime
1899,Low Crime
1900,Very High Crime
1901,Medium Crime
1902,Medium Crime
1903,High Crime
1904,Low Crime
1905,Medium Crime
1906,Very Low Crime
1907,Very High Crime
1908,Low Crime
1909,High Crime
1910,Very High Crime
1911,Very Low Crime
1912,Medium Crime
1913,High Crime
1914,Very High Crime
1915,Low Crime
1916,Very High Crime
1917,Medium Crime
1918,High Crime
1919,High Crime
1920,Medium Crime
1921,Medium Crime
1922,High Crime
1923,Low Crime
1924,Medium Crime
1925,High Crime
1926,Low Crime
1927,Low Crime
1928,Medium Crime
1929,Medium Crime
1930,Very Low Crime
1931,Medium Crime
1932,Very Low Crime
1933,Very Low Crime
1934,Medium Crime
1935,Very Low Crime
1936,Very Low Crime
1937,Very Low Crime
1938,Medium Crime
1939,Low Crime
1940,Very High Crime
1941,Medium Crime
1942,Medium Crime
1943,Medium Crime
1944,Medium Crime
1945,Medium Crime
1946,Medium Crime
1947,Very Low Crime
1948,Medium Crime
1949,High Crime
1950,Medium Crime
1951,High Crime
1952,Low Crime
1953,Very Low Crime
1954,Very High Crime
1955,Very Low Crime
1956,High Crime
1957,Very High Crime
1958,High Crime
1959,Low Crime
1960,Very Low Crime
1961,Very Low Crime
1962,High Crime
1963,Very High Crime
1964,Very High Crime
1965,Very High Crime
1966,High Crime
1967,Very Low Crime
1968,Medium Crime
1969,Very High Crime
1970,Very High Crime
1971,High Crime
1972,High Crime
1973,Very Low Crime
1974,Very High Crime
1975,Low Crime
1976,Low Crime
1977,High Crime
1978,Very Low Crime
1979,Medium Crime
1980,High Crime
1981,Low Crime
1982,Very Low Crime
1983,Very High Crime
1984,Medium Crime
1985,Medium Crime
1986,Very Low Crime
1987,Very Low Crime
1988,Medium Crime
1989,Low Crime
1990,Very High Crime
1991,High Crime
1992,Medium Crime
1993,Very High Crime
